id,launch date,state_control,suit and belt,year,net profit,asset_beginning,asset_end,equity,liability,EBIT,current_asset,current_liability,RD,turnover,circulation
2123,39169,0,0,2018,90707020.85,6760137201,6647713805,4574805465,2072908340,63897492.48,2923632712,2032555626,138429234,1742653522,693647912
2124,39175,0,0,2012,51250631.35,1072152194,1167854988,516916610.2,650938377.5,83487587.34,576269676.3,648483352.3,338896802.6,416421146,99508975
2124,39175,0,0,2013,125123682.2,1167854988,1852198729,615517692.2,1236681037,164674832.2,941956513.3,1234322239,467098395.4,453892831,101439300
2124,39175,0,0,2014,27184488.75,1852198729,1884564818,620062007,1264502811,88596635.47,844235285.3,1262387301,455544697.6,1276126450,374535120
2124,39175,0,0,2015,107602966.7,1884564818,1967302261,1125467584,841834676.4,176582152.4,874598256.6,828602735.9,582390894.4,5677422259,840126309
2124,39175,0,0,2016,372738932.5,1967302261,2490092178,1424420612,1065671566,403463630.2,983446493.3,1055566833,870329431.6,3314736891,849998730
2124,39175,0,0,2017,259287796.2,2490092178,4443158631,3047806813,1395351818,283376374.6,1685175894,1377367895,4305001897,2409531445,1047274849
2124,39175,0,0,2018,-575163816.1,4443158631,6228766401,2396913439,3831852962,-486181981.5,2333011773,3468022303,4583522432,2723449746,1047165384
2125,39175,1,0,2012,-45596721.83,1048184182,1250412574,372619565.3,877793008.3,-5010004.27,621041429,808988551.8,108347203.1,677570715,72432125
2125,39175,1,0,2013,7586191.32,1250412574,1233501326,381134997.2,852366328.9,55469753.46,609180936.9,803791194.2,95127884.6,562289809,72432125
2125,39175,1,0,2014,-60278973.63,1233501326,1544751400,313860575.1,1230890825,-18070698.76,572008795.7,950257828.1,102963536.6,603440894,93781625
2125,39175,1,0,2015,12274292.49,1544751400,2631993492,1060696676,1571296816,54640428.82,1247939231,960257666.9,116049511.7,1006238759,102927175
2125,39175,1,0,2016,25735115,2631993492,2178511352,1086675877,1091835475,53082721.72,710552034.8,826768327.4,119421806,1080757919,259446943
2125,39175,1,0,2017,51568285.54,2178511352,2556873688,1138845626,1418028062,77689650.41,807474667.9,1150220701,141118391.2,2378020452,292097227
2125,39175,1,0,2018,74968168.19,2556873688,3175751380,1167601648,2008149733,155852489.4,937375670,1499679412,172324968.2,3950039219,356162359
2126,39190,0,0,2012,46001778.37,2338668264,2479426432,1346524455,1132901977,81839553.77,1432962558,1018240738,55355421.99,436044708,68020238
2126,39190,0,0,2013,105881441.9,2479426432,3152909214,1464397130,1688512083,158098523.8,1830796212,1117364653,61882307,1814543374,102030357
2126,39190,0,0,2014,163181426.7,3152909214,3514774812,1634449113,1880325699,238000156.3,1894429068,1311537326,61063115.69,1774072088,233640000
2126,39190,0,0,2015,212749759.2,3514774812,3924670975,2210403683,1714267292,293749311.4,2053157161,1145658932,46394346.65,3068735769,350460000
2126,39190,0,0,2016,270190013.6,3924670975,4794145436,2559605575,2234539860,366962584,2270634489,1463895279,78842741.47,2760150949,350459500
2126,39190,0,0,2017,343255373.4,4794145436,6678107088,3688500828,2989606260,449452901.7,3650495369,2764220304,88820073.97,912889000,344794626
2126,39190,0,0,2018,398335213,6678107088,7858823185,4096912919,3761910267,526870791.6,4321303624,3479266609,225443661,750854958,346909396
2127,39190,0,0,2012,-194856046.8,3424353108,4060594275,1022544495,3038049780,-114771895.3,1953366008,2274158519,85862245.47,232154182,38920000
2127,39190,0,0,2013,-536463009.1,4060594275,2844771033,467888991.2,2376882041,-408320955.9,1058758069,1852069983,92811782.28,373018073,39490750
2127,39190,0,0,2014,11926315.06,2844771033,923141687.6,466329371.8,456812315.9,97651628.6,749134341.2,455424315.7,109003164.4,640154922,82439453
2127,39190,0,0,2015,172266115.6,923141687.6,1372789852,1235355457,137434394.6,204247472.8,1292512329,135634394.6,115147479,2278921600,149199027
2127,39190,0,0,2016,303062954.4,1372789852,2046796383,1564280144,482516239,343923224.5,1336688407,482516239,121428665.2,1811544265,169277291
2127,39190,0,0,2017,535608259.2,2046796383,3820524278,3050054092,770470186.2,615967596.1,2274305124,589780099.8,118573688.4,2007135644,288234400
2127,39190,0,0,2018,887279687.7,3820524278,4549248715,3764268786,784979928.6,967794617.8,3057515292,784345728.6,118337754.1,1556561822,301351687
